company,details,slide_type,description,use_case,industry,tags,image_link,image_id
Morgan Stanley ,Road Show US West Coast Morgan Stanley,Mixed Chart,"This slide provides a snapshot of FCG key figures and product categories, along with revenue split pie charts and a map showing the location of six plants in Europe. The layout is clear and informative, with distinct sections for each data point.",Product and Service Analysis,Industrial & Manufacturing,"['Pie Chart', 'Table', 'Map']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f4f3c8e08d0a5b65d694_xFHBCogosUWYvHtP1t75GJuUtbEk1ELD6n9JOdTnbcs.avif,slide-3059.jpg
Morgan Stanley ,Road Show US West Coast Morgan Stanley,Table,"The slide is segmented into different sections with icons representing various end-markets, activities, and growth drivers. It provides insights into market growth prospects through 2022-2027 for different segments within the engineered fabrics and films industry.",Market Analysis and Trends,Industrial & Manufacturing,"['Table', 'Bullet points', 'Icon']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f4fbb3df1545190edb1d_TcgpebcaASItEjAaUMlabapGLViH9ozCZMaHe4k6aS0.avif,slide-3060.jpg
Morgan Stanley ,Road Show US West Coast Morgan Stanley,Header Horizontal,"This slide is a Comparative Slide, showcasing two columns labeled 'DEEP-INNOVATION CAPABILITIES' and 'MICHELIN'S HIGH-TECH MATERIALS ACTIVITIES' with icons and brief points underneath each. There are four points on the left with corresponding icons and three sections on the right detailing different product categories. The slide has a clean, professional design with a balance of text and icons.",Industry Overview,Industrial & Manufacturing,"['Picture', 'Icon']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f503c8e08d0a5b65e980_Oufr6N2OuTqLAla9jN7C0vmzK3YMMOhhYwmmFEnd5Jw.avif,slide-3061.jpg
Morgan Stanley ,Road Show US West Coast Morgan Stanley,Multiple Chart,"This Data-Driven Slide includes a column chart showing 'MICHELIN’S HIGH-TECH MATERIALS REVENUES' with a positive trend over time, and two pie charts displaying '2022 revenue by geography' for Michelin and FCG. The slide is divided into three sections, with each section providing distinct information. The visual elements are complemented by descriptive text, making the data clear and the layout professional.",Financial Performance,Financial Services,"['Pie Chart', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f50a87caf7888b647f7a_Si_dpO4bN1iaxWvp1bfQMIhdo_2tJuYIR5WG4fdMARk.avif,slide-3062.jpg
Morgan Stanley ,Road Show US West Coast Morgan Stanley,Pillar,"This Text and Image Slide presents three sections titled 'PEOPLE', 'PROFIT', and 'PLANET' each with a dedicated icon and bullet points. It's well-organized, with a clear visual hierarchy that guides the viewer through each section. The use of icons and strategic spacing of content facilitates comprehension and provides an engaging visual experience.",Strategic Planning,Professional Services,"['Table', 'Icon']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f51338fa1f879d2e203c_aWtn8DtOXXppFbr73g4-cOA1BN9Lk0wbmJyhz205vIM.avif,slide-3063.jpg
Morgan Stanley ,Road Show US West Coast Morgan Stanley,Multiple Chart,"The slide is an Image with Caption Slide, featuring an exploded view of a vehicle showcasing tire components, alongside a column chart and a world map. The visual elements are well-integrated and support the slide's message. The graphical data is presented clearly with contrasting colors to differentiate Michelin from competitors, and the map illustrates global presence, making for an engaging and informative layout.",Market Analysis and Trends,Transportation & Logistics,"['Column Chart', 'Map', 'Icon']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f51a96d45b58f75e6c24_SrrUCKAiVMp7C911xdqbLaagtPzhmEE-O29X8CkhR08.avif,slide-3064.jpg
Morgan Stanley ,Road Show US West Coast Morgan Stanley,Mixed Chart,"Slide features a column chart comparing 'Particle Emissions: Michelin vs. Other Premium Tiremakers', alongside images of tires and their respective emission reductions. The visual presentation is clear, with the graph effectively highlighting Michelin's lower emission levels in a distinct yellow bar. Accompanied by illustrative tire images, the data is easy to interpret and visually impactful.",Product and Service Analysis,Industrial & Manufacturing,"['Takeaway Box', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f521f4971ffbd432e663_TD8FEJd4mpnwYND1gwMgtjSud5ygAO0oB_gIk3znSys.avif,slide-3065.jpg
Morgan Stanley ,Road Show US West Coast Morgan Stanley,Framework,"This Diagram Slide showcases 'Watèa by Michelin' with diagrams and icons, highlighting the transition to electric light commercial vehicles (LCVs). It presents the stakes of this transition, fleet pain points, and Michelin's value proposition. The use of diagrams, pictograms, and a central circular graphic visually conveys the information effectively, with clear labels and a coherent color scheme.",Technology and Digital Transformation,Transportation & Logistics,"['Bullet points', 'Icon', 'Framework']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f5293f2d94c4fd59c492_RRaK5rS5cTjEG2ULG_kDJzrunRJua3PtLi4iZQKZFPg.avif,slide-3066.jpg
Morgan Stanley ,Road Show US West Coast Morgan Stanley,Linear Flow,"This Comparative Slide outlines Michelin’s expertise across 'R&D', 'MANUFACTURING', and 'GROWTH STRATEGY', using a balanced mix of text and images. The design is dense but clear, with color-coded sections and relevant images providing visual cues to the information presented. The structure allows for easy comparison of the three areas and their interconnectedness.",Technology and Digital Transformation,Industrial & Manufacturing,"['Bullet points', 'Icon', 'Process Flow', 'Graphic']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f531a1cc93e7efdb8d03_ZwtrhmNn_FRAKs6LDjnzL_8rMG9vmxqP94mh6Zpx_Ow.avif,slide-3067.jpg
Morgan Stanley ,Road Show US West Coast Morgan Stanley,Linear Flow,"This Timeline or Roadmap Slide outlines the expansion plan of 'Symbio' with a timeline from 2014 to 2030. It includes milestone markers, text descriptions, and a flow diagram that effectively communicates the progressive development of the company. The design employs a mix of icons, images, and a linear path to guide viewers through the timeline, making complex information easily digestible.",Strategic Planning,Energy & Utilities,"['Picture', 'Takeaway Box', 'Process Flow', 'Timeline']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f5380838be941deb6fb7_L7uR4WzXepL9FXCZPtX1pP77i4c2Ly6DRThQyllooos.avif,slide-3068.jpg
Morgan Stanley ,Road Show US West Coast Morgan Stanley,Multiple Chart,"This Data-Driven Slide presents Michelin’s ratings from various ESG agencies, along with distribution graphs showing the market average performance and Michelin's standing. The visual elements, including the column charts, rating icons, and color-coded tables, create a data-rich yet clear and structured presentation. It demonstrates Michelin’s strong ESG performance in an impactful and visually effective manner.",Corporate Finance and Valuation,Industrial & Manufacturing,"['Table', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f5400c58f57fa92aab24_w6BkEBffYiLo4PN8Qs9fNjyGIG-eOivBlQvBhDldb9k.avif,slide-3069.jpg
Morgan Stanley ,Road Show US West Coast Morgan Stanley,Mixed Chart,"The Comparative Slide juxtaposes the potential savings in materials and CO2 emissions if the world used Michelin tires, with comparative visuals such as the Statue of Liberty for scale. The use of comparison and statistical data effectively emphasizes Michelin's environmental benefits. The layout is visually engaging and informative, highlighting the impact of tire technology on sustainability.",Regulatory and Compliance,Industrial & Manufacturing,"['Pie Chart', 'Takeaway Box']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f5476a710ae667610ef2_zE150vNnQi5g55TaY56vqrO6F-Qw2_jRenxJ7GLZg1M.avif,slide-3070.jpg
Morgan Stanley ,Road Show US West Coast Morgan Stanley,Diagram,"This slide features a circular flow diagram centered around a tire, with various stages such as raw materials, production, and supply chain illustrated with icons and dates. The slide also highlights 'green tire' innovation and life-cycle analysis targets.",Industry Overview,Industrial & Manufacturing,"['Icon', 'Diagram']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f54fba409e39ee304680_h-2xWNBmEpa9uxcNTLf3poPKwK77xEgQfHofVenpVeM.avif,slide-3071.jpg
Morgan Stanley ,Road Show US West Coast Morgan Stanley,Table,"The slide includes text boxes outlining key figures and commitments for future dates, and the 'Act4nature International' logo.",Strategic Planning,Environmental Services & Sustainability,"['Table', 'Icon']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f5564678cf3b97b29153_UHDnmjwavHPWMc3KsJ8v8gRtMtIZND0hicyS_EKh33s.avif,slide-3072.jpg
Morgan Stanley ,Road Show US West Coast Morgan Stanley,Header Vertical,"Features images and captions related to sustainable rubber sourcing, statistical data, and information on projects in different regions to improve sustainability in the rubber supply chain.",Market Analysis and Trends,Industrial & Manufacturing,"['Bullet points', 'Icon']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f55da4454f0405d0cfb7_S9JHaU-r05Xwz7XJmdLbOtqbaXoeK5Qcf8h1scTeF6g.avif,slide-3073.jpg
Morgan Stanley ,Road Show US West Coast Morgan Stanley,Single Chart,"Contains column charts and numerical data representing the evolution of external costs related to CO2, VOC emissions, and water withdrawals, with comparisons to past years and future ambitions.",Financial Performance,Industrial & Manufacturing,['Column Chart'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f56425d3b6865fd3bfcb_KlRoxnEzrorXvDQk90pPHFljR8zmdG6-6S9itq3FTTI.avif,slide-3074.jpg
Morgan Stanley ,Road Show US West Coast Morgan Stanley,Framework,"Depicts a central graphic with concentric circles detailing governance, strategy, risk management, and targets, accompanied by side text and logos.",Regulatory and Compliance,Industrial & Manufacturing,['Framework'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f56c96d45b58f75ec59c_ncpzB5xNIsYPtXxzDcMdWedYfgMzvsL09Mt3BN8ktqc.avif,slide-3075.jpg
Morgan Stanley ,Road Show US West Coast Morgan Stanley,Framework,The slide features a circle divided into transition and adaptation plan sectors and three-dimensional columns representing scopes of CO2 emissions.,Strategic Planning,Industrial & Manufacturing,"['Bullet points', 'Icon', 'Framework']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f57319bbbd6b69fcb3c0_zx9OgEvupNoGFaRciVDOHTYrgBOb_8M6xK4LERc-gn4.avif,slide-3076.jpg
Morgan Stanley ,Road Show US West Coast Morgan Stanley,Table,The slide presents a timeline with goals for emission reductions across various scopes and a graphical representation of the company's influence on these scopes.,Strategic Planning,Environmental Services & Sustainability,['Table'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f57a84de13e1a6217779_-u3o6s1IPB6445ziNNTHapuuNHF1LP3oY8GlwiXfjBE.avif,slide-3077.jpg
Morgan Stanley ,Road Show US West Coast Morgan Stanley,Mixed Chart,"Features a line graph tracking the reduction in the environmental footprint, with key metrics on water, waste, solvents, energy, and CO2 emissions.",Operational Efficiency,Industrial & Manufacturing,"['Line Chart', 'Icon']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f58287f4d25787da87f9_sO7PFP3judybMI5EVAfph7OEgCbxtTzI96n8bozlAeM.avif,slide-3078.jpg
Morgan Stanley ,Road Show US West Coast Morgan Stanley,Framework,"Displays a central emblem for Michelin's One Care Program, surrounded by text detailing the program's coverage and objectives.",Human Resources and Talent Management,Industrial & Manufacturing,"['Takeaway Box', 'Bullet points', 'Framework']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f58af4971ffbd43354f5_lHusKX3DJ6-egcgyCan8JSgdS__Rmm2FN9NCHiHi2Nw.avif,slide-3079.jpg
Morgan Stanley ,Road Show US West Coast Morgan Stanley,Framework,"A vibrant graphic representing various diversity dimensions encircles textual explanations, flanked by images portraying diversity in the workplace.",Human Resources and Talent Management,Industrial & Manufacturing,"['Picture', 'Framework']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f591c976d1f6b67b0365_DyFM3IMtetb7APftLKhte-mYvJDb2zKpC8bzmIGqeog.avif,slide-3080.jpg
Morgan Stanley ,Road Show US West Coast Morgan Stanley,Diagram,"The slide features a hierarchical chart with two main columns differentiated by color. On the left, a blue column lists the supervisory board's structure, and on the right, a darker blue column outlines the general partners' responsibilities.",Organizational Structure and Change,Industrial & Manufacturing,['Org Chart'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f598c41b392aa9d1ef9b_-GFca3zpFS_u0o8KSJGGB-dKiUiwEx9eEiahc0Hf_ZA.avif,slide-3081.jpg
Morgan Stanley ,Road Show US West Coast Morgan Stanley,Diagram,This slide uses a flow chart with dotted and solid lines to connect various committees and operational elements. Icons and color coding categorize the ESG components like governance and environment.,Strategic Planning,Industrial & Manufacturing,['Diagram'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f59fb933571b56d97709_Ix4JA9Egs9I06KK03W_L9P-5iY6TLrQ8C2XjKuxuMUY.avif,slide-3082.jpg
Morgan Stanley ,Road Show US West Coast Morgan Stanley,Header Horizontal,"This slide uses a combination of tables and a chart to present compensation structures. There are text boxes with bullet points, and a flow diagram depicts the performance share plans linkage to ESG criteria.",Financial Performance,Industrial & Manufacturing,"['Bullet points', 'List']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f5a7c8e08d0a5b66aabb_UM0Q_3zCEoAD5RVLFRj_tbNl4w5xi3l2Oo3_CCcSFU0.avif,slide-3083.jpg
Morgan Stanley ,Morgan Stanley Asia Pacific Summit,Pillar,"The slide presents a balanced combination of text, icons, and a Venn diagram. The icons represent different business areas, while the diagram depicts the intersection of energy policies and current events.",Industry Overview,Energy & Utilities,"['Icon', 'Diagram']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f5ae3f2d94c4fd5a58e7_pPfWqY8GY5sOuLw2xlt9ENx4ut9vvnCMD1KkynnXnWc.avif,slide-3084.jpg
Morgan Stanley ,Morgan Stanley Asia Pacific Summit,Header Vertical,"The slide features a combination of images and bulleted lists. Four images represent key pillars, and a detailed list of industry trends and opportunities follows each image.",Market Analysis and Trends,Energy & Utilities,"['Picture', 'Bullet points']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f5b54487a4ffa4ed6363_4fc9ciVUQtumOvW47ua9QUCmPxW9dRWIA3l_qe22e1s.avif,slide-3085.jpg
Morgan Stanley ,Morgan Stanley Asia Pacific Summit,Graphic,"A world map highlights key locations with markers. An inset magnifies the Singapore region, showing more detail with labeled yard locations.",Strategic Planning,Energy & Utilities,['Map'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f5bda1cc93e7efdc2dd5_xNT46DX_H207F0qN3QK0IpBwjk4Zyief-5vi7FmKNNE.avif,slide-3086.jpg
Morgan Stanley ,Morgan Stanley Asia Pacific Summit,Header Vertical,"The slide is divided into three sections, each with a header, a descriptive text block, and an accompanying image. It features images of offshore platforms and vessels, emphasizing Seatruim’s capabilities.",Operational Efficiency,Energy & Utilities,"['Picture', 'Bullet points']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f5c4be6b852d3a976e0b_641wKgcfMZo2lTynSQSgoK0q0AEGmjHSghlAYGnaaSU.avif,slide-3087.jpg
IPSOS ,CRYPTO ASSET SURVEY 2023,Multiple Chart,"A column chart comparing the use of various crypto trading platforms in 2023 and 2022, with an additional column chart for 2023 platforms usage not listed in 2022.",Market Analysis and Trends,Financial Services,"['Bar chart', 'Bullet points']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680b55bcd4613a63b703fc38_I4TYO964AykX6iFp__QpREJD8LUTGsR8EfQMhJtwnYY.avif,slide-3088.jpg
IPSOS ,CRYPTO ASSET SURVEY 2023,Multiple Chart,"Two pie charts showing the percentage of people using VPNs to access crypto trading platforms, divided into 'Outside of Canada' and 'Inside of Canada' for 2023 and 2022.",Regulatory and Compliance,Financial Services,"['Takeaway Box', 'Table', 'Pie Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680b55bfb62ec6948f5c104d_Tw9BgaXODCBum1rc3YqRc2MsOSZps9N45A8yHoSkSR8.avif,slide-3089.jpg
Morgan Stanley ,Morgan Stanley Asia Pacific Summit,Header Horizontal,"The slide is visually divided into three main sections, each with a header, image, and bulleted text describing key sustainability efforts by Seatruim.",Strategic Planning,Energy & Utilities,"['Picture', 'Bullet points']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f5da4901cb98ccdadb41_W0kcPfLfyfYnM25usm4sYVxVdOixU1Bbi-V1wjrxsgs.avif,slide-3090.jpg
IPSOS ,CRYPTO ASSET SURVEY 2023,Mixed Chart,"A pie chart illustrating the proportion of users who recall receiving risk information from crypto trading platforms in 2023, compared to 2022.",Risk Assessment and Management,Financial Services,"['Takeaway Box', 'Pie Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680b55c3dab6f603bbd08e98_iGKg37v0cDwfd_efCk4NVG402ESfhxwiHlaevfkrtAw.avif,slide-3091.jpg
Morgan Stanley ,Morgan Stanley Asia Pacific Summit,Mixed Chart,"Table with projects for delivery years and their values, client names. Column chart for net order book by segments. List of projects under execution. Company logo.",Operational Efficiency,Energy & Utilities,"['Table', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f5eac8e08d0a5b66fa03_tR2d7K3yLTkT6uGIGaqCSclQHmruH05AfKEnBpm67z4.avif,slide-3092.jpg
Morgan Stanley ,Morgan Stanley Asia Pacific Summit,Mixed Chart,Left text section lists renewable projects. Right side image of an offshore converter platform. A column chart illustrates the split in net order book between renewable and other solutions.,Strategic Planning,Energy & Utilities,"['Picture', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f5f1c5dc85ec5711af72_l3XSivs7mlprrIO19pxmgE14emQl5KP7FZLGWZpIXXU.avif,slide-3093.jpg
Morgan Stanley ,Morgan Stanley Asia Pacific Summit,Header Horizontal,Two content sections for different green finance initiatives. Logos of OCBC and Standard Chartered.,Financial Performance,Financial Services,"['Bullet points', 'Icon']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f5f8becb2f12dd13bc5b_Wpc2yXe1f0fnKOvL_pUP-OVTs8xhtAT9vekPKCHxZCY.avif,slide-3094.jpg
Morgan Stanley ,"Morgan Stanley US Financials, Payments, & CRE Conference",Multiple Chart,"Various pie and column charts with financial data, text blocks outlining investment strategies, and key metrics in deposit growth. A logo is present.",Financial Performance,Financial Services,"['Pie Chart', 'Takeaway Box', 'Bullet points', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f60087f4d25787db13c2_iCAbF3RrzZ_UpLocHW6JjSJaGP7LJIDLZ_ZC8ctNCcI.avif,slide-3095.jpg
Morgan Stanley ,"Morgan Stanley US Financials, Payments, & CRE Conference",Multiple Chart,"Line graph comparing deposit franchise performance among peers, and a scatter plot representing deposit relationships. Text explanation on the side.",Market Analysis and Trends,Financial Services,"['Line Chart', 'Scatter Plot']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f6076cf83264f5a7a513_JBRdT3H_eIgKvmp46PIM3is_C9DLmb9UG0x80GcwWwU.avif,slide-3096.jpg
Morgan Stanley ,"Morgan Stanley US Financials, Payments, & CRE Conference",Header Horizontal,"Text describing the consumer deposit strategy, accompanied by graphs and location rank tables. Image of a digital banking award and associated graphics.",Market Analysis and Trends,Financial Services,"['Takeaway Box', 'Table', 'Bullet points', 'Graphic']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f60fecb6f93d5329ec10_IG2ZWPbJS4Se45XkIVsNQDpg7Yf1My2dGaLbBqkkznk.avif,slide-3097.jpg
Morgan Stanley ,"Morgan Stanley US Financials, Payments, & CRE Conference",Multiple Chart,"Graphs comparing revenue performance and rankings, and text blocks highlighting commercial deposit franchise features. Logos for banking services and an accompanying graphic.",Operational Efficiency,Financial Services,"['Pie Chart', 'Takeaway Box', 'Bullet points', 'Bar chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f6169398ed6cc9bb3370_Mw8-BAYSpvTDbl73Z0qGRCIZFx1erzai0sHVv5yZNEI.avif,slide-3098.jpg
Morgan Stanley ,"Morgan Stanley US Financials, Payments, & CRE Conference",Mixed Chart,"Text explaining the acquisition's impact on payment capabilities, graphs displaying revenue and growth projections, and logos of payment services. An image of the Newline™ service by Fifth Third.",Investment Analysis,Financial Services,"['Bullet points', 'Column Chart', 'Icon', 'Graphic']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f61e3de1516958c7ceff_Zff3VTI3FEHAUA77uUf4x5LyA8Sr5U4mcwQBm6HTkNM.avif,slide-3099.jpg
Morgan Stanley ,"Morgan Stanley US Financials, Payments, & CRE Conference",Multiple Chart,"Pie charts representing FICO scores and homeowner vs renter percentages, alongside column charts for deposit balance changes. Text sections providing additional context.",Risk Assessment and Management,Financial Services,"['Pie Chart', 'Bullet points', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f626a1cc93e7efdc9a14_nWBh2W4IRG5kZ2PnVnY9XXljFu3H10g9zj4JqKzG7NY.avif,slide-3100.jpg
Morgan Stanley ,"Morgan Stanley US Financials, Payments, & CRE Conference",Multiple Chart,"This slide is highly detailed, containing both textual information and multiple graphical elements. There's a pie chart detailing commercial portfolio balances by industry, a column chart comparing CRE as a percentage of total loans, and a small table with key statistics about office CRE. The color scheme is blue and green, with the graphs clearly labeled and information bullet-pointed for clarity.",Financial Performance,Financial Services,"['Bullet points', 'Pie Chart', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f6354487a4ffa4edf2f0_l8COtnZt6tKRQOor9Fl52y1oBzsLACYOPZxcXLFeYtY.avif,slide-3101.jpg
Morgan Stanley ,"Morgan Stanley US Financials, Payments, & CRE Conference",Pillar,"The slide is advanced, filled with both text and icons representing different aspects of sustainability. Each category such as ""Addressing climate change"" or ""Promoting inclusion and diversity"" is accompanied by relevant icons and a brief list of achievements or goals. The design is clean and organized, using the company's color scheme of blue and green to differentiate sections.",Operational Efficiency,Financial Services,"['Icon', 'Takeaway Box', 'Table']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f63c0bfd54fe0c99deae_OVIMI4aShU7ykfdHwCwfubsj_YtEqIC7R6kzsW5geOc.avif,slide-3102.jpg
IPSOS ,CRYPTO ASSET SURVEY 2023,Mixed Chart,"A stacked bar chart showing the different types of fees reported by users when trading on crypto platforms, with a comparison between 2023 and 2022.",Pricing Strategies,Financial Services,"['Bar chart', 'Takeaway Box']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680b55c6cb3a432f64ede1d3_rpyEO-yxsYx5nsmqNF3DrTuzr0oD2L3p8e0ILJyFecw.avif,slide-3103.jpg
Morgan Stanley ,"Morgan Stanley US Financials, Payments, & CRE Conference",Multiple Chart,"This advanced slide features a U.S. map, a bar chart, and a line graph to represent data visually. The map is color-coded to show regional spending, the bar chart depicts manufacturing loans as a percentage of C&I loans by peer, and the line graph shows the trend in announced U.S. manufacturing jobs. Text boxes provide additional context for the visual data presented, all within a coherent color scheme.",Strategic Planning,Financial Services,"['Column Chart', 'Bar chart', 'Line Chart', 'Heatmap']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f64cf70f4319301401c9_fidiJ6iYhRv3eTyFhnwC5Wzee9oVeg8HrNlYYZ0sQKw.avif,slide-3104.jpg
Morgan Stanley ,"Morgan Stanley US Financials, Payments, & CRE Conference",Multiple Chart,"An advanced slide that features four sets of line graphs depicting total net charge-offs and non-performing loans, complemented by text summaries on the right-hand side. The graphs are detailed, using blue tones to represent different data points over time. The right side of the slide provides bullet points highlighting key actions taken since the financial crisis to improve credit profile.",Risk Assessment and Management,Financial Services,"['Bullet points', 'Line Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f653e637f5c8c6a5cb0c_jw85uK4OhwhJaTWomo6I_cBl7lKn0Nuo-iIgdh2tWzw.avif,slide-3105.jpg
Morgan Stanley ,"Morgan Stanley US Financials, Payments, & CRE Conference",Multiple Chart,"An advanced layout that includes a series of bar graphs comparing the company's CRE concentration to its peers. Each bar graph is dedicated to a different aspect of CRE concentration, such as ""Other CRE,"" ""Multifamily,"" and ""Office CRE."" The slide is information-dense, using different shades of blue and gray to differentiate between the company and its peers.",Competitive Landscape,Financial Services,['Bar chart'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f65bc174f17713e03259_VkiYLmQT7IOywANZn0PohNFnx6Y4BTF-vfYPyb4ePJc.avif,slide-3106.jpg
Morgan Stanley ,"Morgan Stanley US Financials, Payments, & CRE Conference",Multiple Chart,"This advanced slide contains two vertical stacked column charts representing changes in loan mix and noninterest income from 2012 to the present. It uses shades of blue, green, and other colors to differentiate between segments. Textual content is provided on the right to give context to the graphs, and bullet points below the graphs highlight key takeaways.",Strategic Planning,Financial Services,"['Bullet points', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f662f774567d9bbbf1e8_n4bWqMKKBhrUaRu1cg1XUsUegRMa30nvPHU9_2OM_e0.avif,slide-3107.jpg
Morgan Stanley ,"Morgan Stanley US Financials, Payments, & CRE Conference",Mixed Chart,"An advanced layout featuring a large pie chart illustrating the investment portfolio composition, with detailed textual information to the right. The slide utilizes shades of blue and gray for the chart, with distinct sections indicating types of investments, such as Agency CMBS and Non-agency CMBS.",Financial Performance,Financial Services,"['Bullet points', 'Pie Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f66acd1aace3d488eddc_FUbhoIo6QeK9QbE4D6Z2nwy-1MwCaxfPaxTTtMO-3AY.avif,slide-3108.jpg
Morgan Stanley ,"Morgan Stanley US Financials, Payments, & CRE Conference",Header Horizontal,"The slide is moderately complex with a mix of textual content and images. The left side details the acquisition of a fintech company, while the right side shows a flow diagram of the healthcare provider revenue cycle management value chain. The focal point of the fintech acquisition is highlighted, and the company's healthcare vertical is briefly overviewed. The design is clean and organized, utilizing the brand's color palette.",Strategic Planning,Financial Services,"['Bullet points', 'Icon', 'Table', 'Callouts']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f672be6b852d3a980c70_n_KeAJ4I_Ep10nB6Kaud74n1LFmkWMkjhV6yJJ_iCus.avif,slide-3109.jpg
Morgan Stanley ,"Morgan Stanley US Financials, Payments, & CRE Conference",Single Chart,"An advanced slide featuring a column chart detailing the end-of-period notional value of cash flow hedges. The graph uses different shades to distinguish between floors, forward starting swaps, and existing swaps. Below the graph, a legend explains the colors used, and text boxes provide further information about swap protection and weighted average receive-fix rate. The design is simple and focuses on presenting the financial data clearly.",Risk Assessment and Management,Financial Services,"['Column Chart', 'Takeaway Box']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f67a35531060e7154e90_-Y_2OxYO8CF39xPqZAxfpsf9US20feZxHX14kcAMax8.avif,slide-3110.jpg
Morgan Stanley ,"Morgan Stanley US Financials, Payments, & CRE Conference",Multiple Chart,"Slide with multiple pie charts and bullet points. Clean layout with distinct sections for commercial, consumer loans, investment portfolio, and long-term debt.",Financial Performance,Financial Services,"['Bullet points', 'Pie Chart', 'Table']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f681be6b852d3a9817fb_t11ytYIt6-Bd2pgWNOQHhuTWTpwJEpzMrRL3GnEIUww.avif,slide-3111.jpg
Morgan Stanley ,"Morgan Stanley US Financials, Payments, & CRE Conference",Multiple Chart,"Slide with column chart showing portfolio loans and a pie chart for commercial portfolio mix. The layout is clean, using contrasting colors for clarity.",Financial Performance,Financial Services,"['Pie Chart', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f688c41b392aa9d2e564_5LWtBa_S0nDsV5mKa0ObcW1UerXffM3CuwvnoA4y-3c.avif,slide-3112.jpg
Morgan Stanley ,"Morgan Stanley US Financials, Payments, & CRE Conference",Multiple Chart,"Column charts for portfolio loans and line graph for utilization trend, accompanied by a small pie chart and key statistics in a tabular format. Clear segmentation of data.",Financial Performance,Industrial & Manufacturing,"['Column Chart', 'Line Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/6702f690c174f17713e06721_Aq4O3urPmMUF_svE40D81fU2Gvckj1pLSGzWpFT78Ow.avif,slide-3113.jpg
